date,topic,topic_name,post_count,previous_post_count,growth,growth_rate,trend,next_day_trend,previous_growth_rate,rolling_3day_avg,momentum_3day,day_of_week
2025-04-30,0,General LLM Usage,8,,,,Unknown,Rising,,,,2
2025-05-01,0,General LLM Usage,31,8.0,23.0,2.875,Rising,Stable,,,,3
2025-05-02,0,General LLM Usage,28,31.0,-3.0,-0.0967741935483871,Stable,Rising,2.875,,,4
2025-05-03,0,General LLM Usage,43,28.0,15.0,0.5357142857142857,Rising,Falling,-0.0967741935483871,22.333333333333332,,5
2025-05-04,0,General LLM Usage,37,43.0,-6.0,-0.13953488372093023,Falling,Stable,0.5357142857142857,34.0,35.0,6
2025-05-05,0,General LLM Usage,36,37.0,-1.0,-0.02702702702702703,Stable,Rising,-0.13953488372093023,36.0,6.0,0
2025-05-06,0,General LLM Usage,42,36.0,6.0,0.16666666666666666,Rising,Falling,-0.02702702702702703,38.666666666666664,8.0,1
2025-05-07,0,General LLM Usage,32,42.0,-10.0,-0.23809523809523808,Falling,Rising,0.16666666666666666,38.333333333333336,-1.0,2
2025-05-08,0,General LLM Usage,38,32.0,6.0,0.1875,Rising,Rising,-0.23809523809523808,36.666666666666664,-5.0,3
2025-05-09,0,General LLM Usage,49,38.0,11.0,0.2894736842105263,Rising,Falling,0.1875,37.333333333333336,2.0,4
2025-05-10,0,General LLM Usage,42,49.0,-7.0,-0.14285714285714285,Falling,Stable,0.2894736842105263,39.666666666666664,7.0,5
2025-05-11,0,General LLM Usage,38,42.0,-4.0,-0.09523809523809523,Stable,Stable,-0.14285714285714285,43.0,10.0,6
2025-05-12,0,General LLM Usage,40,38.0,2.0,0.05263157894736842,Stable,Stable,-0.09523809523809523,43.0,0.0,0
2025-05-13,0,General LLM Usage,44,40.0,4.0,0.1,Stable,Falling,0.05263157894736842,40.0,-9.0,1
2025-05-14,0,General LLM Usage,39,44.0,-5.0,-0.11363636363636363,Falling,,0.1,40.666666666666664,2.0,2
2025-04-30,1,AI News and Jobs,5,,,,Unknown,Rising,,,,2
2025-05-01,1,AI News and Jobs,35,5.0,30.0,6.0,Rising,Stable,,,,3
2025-05-02,1,AI News and Jobs,34,35.0,-1.0,-0.02857142857142857,Stable,Falling,6.0,,,4
2025-05-03,1,AI News and Jobs,26,34.0,-8.0,-0.23529411764705882,Falling,Stable,-0.02857142857142857,24.666666666666668,,5
2025-05-04,1,AI News and Jobs,24,26.0,-2.0,-0.07692307692307693,Stable,Stable,-0.23529411764705882,31.666666666666668,21.0,6
2025-05-05,1,AI News and Jobs,24,24.0,0.0,0.0,Stable,Rising,-0.07692307692307693,28.0,-11.0,0
2025-05-06,1,AI News and Jobs,30,24.0,6.0,0.25,Rising,Stable,0.0,24.666666666666668,-10.0,1
2025-05-07,1,AI News and Jobs,27,30.0,-3.0,-0.1,Stable,Stable,0.25,26.0,4.0,2
2025-05-08,1,AI News and Jobs,26,27.0,-1.0,-0.037037037037037035,Stable,Rising,-0.1,27.0,3.0,3
2025-05-09,1,AI News and Jobs,35,26.0,9.0,0.34615384615384615,Rising,Stable,-0.037037037037037035,27.666666666666668,2.0,4
2025-05-10,1,AI News and Jobs,36,35.0,1.0,0.02857142857142857,Stable,Falling,0.34615384615384615,29.333333333333332,5.0,5
2025-05-11,1,AI News and Jobs,30,36.0,-6.0,-0.16666666666666666,Falling,Rising,0.02857142857142857,32.333333333333336,9.0,6
2025-05-12,1,AI News and Jobs,35,30.0,5.0,0.16666666666666666,Rising,Rising,-0.16666666666666666,33.666666666666664,4.0,0
2025-05-13,1,AI News and Jobs,41,35.0,6.0,0.17142857142857143,Rising,Falling,0.16666666666666666,33.666666666666664,0.0,1
2025-05-14,1,AI News and Jobs,28,41.0,-13.0,-0.3170731707317073,Falling,,0.17142857142857143,35.333333333333336,5.0,2
2025-05-01,2,ChatGPT,13,,,,Unknown,Falling,,,,3
2025-05-02,2,ChatGPT,8,13.0,-5.0,-0.38461538461538464,Falling,Rising,,,,4
2025-05-03,2,ChatGPT,12,8.0,4.0,0.5,Rising,Falling,-0.38461538461538464,,,5
2025-05-04,2,ChatGPT,10,12.0,-2.0,-0.16666666666666666,Falling,Stable,0.5,11.0,,6
